,property_type,seller,status,rate per sqft,price,area,location,RERA
524,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,900 / sq ft", 97.83 L,1658 ,Gunjur,approval by RERA
525,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,872 / sq ft", 85.96 L,1464 ,Gunjur,approval by RERA
526,2 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,790 / sq ft", 75.45 L,1303 ,Gunjur,approval by RERA
527,2 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,791 / sq ft", 75.39 L,1302 ,Gunjur,approval by RERA
528,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,860 / sq ft", 89.55 L,1528 ,Gunjur,approval by RERA
529,2 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 72.28 L,1112 ,JP Nagar Phase 1,approval by RERA
530,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 87.16 L,1341 ,JP Nagar Phase 1,approval by RERA
531,2 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 61.75 L,950 ,JP Nagar Phase 1,approval by RERA
532,2 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 60.06 L,924 ,JP Nagar Phase 1,approval by RERA
533,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 85.34 L,1313 ,JP Nagar Phase 1,approval by RERA
534,2 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 68.38 L,1052 ,JP Nagar Phase 1,approval by RERA
535,2 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 72.54 L,1116 ,JP Nagar Phase 1,approval by RERA
536,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 1.01 Cr,1562 ,JP Nagar Phase 1,approval by RERA
537,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 97.43 L,1499 ,JP Nagar Phase 1,approval by RERA
538,3 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"7,991 / sq ft", 88.39 L,1106 ,Talaghattapura,approval by RERA
539,1 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"7,657 / sq ft", 39.59 L,517 ,Talaghattapura,approval by RERA
540,2 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"6,896 / sq ft", 60.69 L,880 ,Talaghattapura,approval by RERA
541,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 99.5 L,1701 ,Whitefield Hope Farm Junction,approval by RERA
542,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 72.59 L,1241 ,Whitefield Hope Farm Junction,approval by RERA
543,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 73.3 L,1253 ,Whitefield Hope Farm Junction,approval by RERA
544,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 88.45 L,1512 ,Whitefield Hope Farm Junction,approval by RERA
545,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 73.24 L,1252 ,Whitefield Hope Farm Junction,approval by RERA
546,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 69.08 L,1181 ,Whitefield Hope Farm Junction,approval by RERA
547,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 71.83 L,1228 ,Whitefield Hope Farm Junction,approval by RERA
548,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 79.56 L,1360 ,Whitefield Hope Farm Junction,approval by RERA
549,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 87.51 L,1496 ,Whitefield Hope Farm Junction,approval by RERA
550,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 72.36 L,1237 ,Whitefield Hope Farm Junction,approval by RERA
551,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 74.7 L,1277 ,Whitefield Hope Farm Junction,approval by RERA
552,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 63 L,1077 ,Whitefield Hope Farm Junction,approval by RERA
553,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 78.56 L,1343 ,Whitefield Hope Farm Junction,approval by RERA
554,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 98.22 L,1679 ,Whitefield Hope Farm Junction,approval by RERA
555,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 82.66 L,1413 ,Whitefield Hope Farm Junction,approval by RERA
556,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 67.39 L,1152 ,Whitefield Hope Farm Junction,approval by RERA
557,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 63.41 L,1084 ,Whitefield Hope Farm Junction,approval by RERA
558,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 67.15 L,1148 ,Whitefield Hope Farm Junction,approval by RERA
559,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 1.04 Cr,1783 ,Whitefield Hope Farm Junction,approval by RERA
560,3 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 96.93 L,1657 ,Whitefield Hope Farm Junction,approval by RERA
561,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 77.86 L,1331 ,Whitefield Hope Farm Junction,approval by RERA
562,2 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 74.06 L,1266 ,Whitefield Hope Farm Junction,approval by RERA
563,2 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"6,851 / sq ft", 61.66 L,900 ,Yelahanka,approval by RERA
564,3 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"6,723 / sq ft", 75.03 L,1116 ,Yelahanka,approval by RERA
565,3 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"7,114 / sq ft", 79.54 L,1118 ,Yelahanka,approval by RERA
566,3 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"6,751 / sq ft", 71.57 L,1060 ,Yelahanka,approval by RERA
567,3 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"6,917 / sq ft", 73.66 L,1065 ,Yelahanka,approval by RERA
568,2 BHK Apartment in Provident Too Good Homes,Provident Housing Limited,Under Construction,"6,283 / sq ft", 55.79 L,888 ,Jakkur,approval by RERA
569,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 51 L,1000 ,Yelahanka,approval by RERA
570,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 66.96 L,1313 ,Yelahanka,approval by RERA
571,3 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 72.57 L,1423 ,Yelahanka,approval by RERA
572,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 62.57 L,1227 ,Yelahanka,approval by RERA
573,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 42.12 L,826 ,Yelahanka,approval by RERA
574,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 55.28 L,1084 ,Yelahanka,approval by RERA
575,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 64.71 L,1269 ,Yelahanka,approval by RERA
576,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 54.46 L,1068 ,Yelahanka,approval by RERA
577,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 53.39 L,1047 ,Yelahanka,approval by RERA
578,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 63.34 L,1242 ,Yelahanka,approval by RERA
579,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 63.13 L,1238 ,Yelahanka,approval by RERA
580,3 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 70.83 L,1389 ,Yelahanka,approval by RERA
581,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 64.71 L,1269 ,Yelahanka,approval by RERA
582,3 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 68.13 L,1336 ,Yelahanka,approval by RERA
583,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 54.46 L,1068 ,Yelahanka,approval by RERA
584,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 84.11 L,1476 ,Bellandur,approval by RERA
585,2 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 71.86 L,1261 ,Bellandur,approval by RERA
586,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 75.11 L,1318 ,Bellandur,approval by RERA
587,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 75.28 L,1321 ,Bellandur,approval by RERA
588,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 77.5 L,1360 ,Bellandur,approval by RERA
589,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 75.56 L,1326 ,Bellandur,approval by RERA
590,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 73.97 L,1298 ,Bellandur,approval by RERA
591,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 83.31 L,1462 ,Bellandur,approval by RERA
592,3 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 83.26 L,1461 ,Bellandur,approval by RERA
593,2 BHK Apartment in Maarq Alpha,Maarq Spaces Pvt Ltd,Under Construction,"5,699 / sq ft", 74.42 L,1306 ,Bellandur,approval by RERA
594,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,420 / sq ft", 69.27 L,1278 ,Anjanapura,approval by RERA
595,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,426 / sq ft", 67.18 L,1238 ,Anjanapura,approval by RERA
596,4 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,346 / sq ft", 1.1 Cr,2061 ,Anjanapura,approval by RERA
597,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,429 / sq ft", 66.24 L,1220 ,Anjanapura,approval by RERA
598,3 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,380 / sq ft", 86.62 L,1610 ,Anjanapura,approval by RERA
599,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,410 / sq ft", 73.03 L,1350 ,Anjanapura,approval by RERA
600,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,430 / sq ft", 66.03 L,1216 ,Anjanapura,approval by RERA
601,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,420 / sq ft", 69.38 L,1280 ,Anjanapura,approval by RERA
602,2 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,407 / sq ft", 73.97 L,1368 ,Anjanapura,approval by RERA
603,3 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,369 / sq ft", 92.63 L,1725 ,Anjanapura,approval by RERA
604,3 BHK Apartment in Provident Sunworth,Provident Housing Limited,Ready to move,"5,531 / sq ft", 59.85 L,1082 ,Kumbalgodu,not approval by RERA
605,2 BHK Apartment in Provident Sunworth,Provident Housing Limited,Ready to move,"5,583 / sq ft", 49.3 L,883 ,Kumbalgodu,not approval by RERA
606,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 32.2 L,805 ,Sarjapur,approval by RERA
607,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 37.12 L,928 ,Sarjapur,approval by RERA
608,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.8 L,995 ,Sarjapur,approval by RERA
609,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 32.2 L,805 ,Sarjapur,approval by RERA
610,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.92 L,998 ,Sarjapur,approval by RERA
611,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 37.12 L,928 ,Sarjapur,approval by RERA
612,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 21.28 L,532 ,Sarjapur,approval by RERA
613,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.8 L,995 ,Sarjapur,approval by RERA
614,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 49.4 L,1235 ,Sarjapur,approval by RERA
615,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.92 L,998 ,Sarjapur,approval by RERA
616,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.36 L,984 ,Sarjapur,approval by RERA
617,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 21.28 L,532 ,Sarjapur,approval by RERA
618,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.52 L,788 ,Sarjapur,approval by RERA
619,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 49.4 L,1235 ,Sarjapur,approval by RERA
620,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 36.68 L,917 ,Sarjapur,approval by RERA
621,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.36 L,984 ,Sarjapur,approval by RERA
622,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 19.4 L,485 ,Sarjapur,approval by RERA
623,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.52 L,788 ,Sarjapur,approval by RERA
624,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 43.04 L,1076 ,Sarjapur,approval by RERA
625,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 36.68 L,917 ,Sarjapur,approval by RERA
626,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 48.6 L,1215 ,Sarjapur,approval by RERA
627,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 19.4 L,485 ,Sarjapur,approval by RERA
628,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 43.04 L,1076 ,Sarjapur,approval by RERA
629,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.52 L,988 ,Sarjapur,approval by RERA
630,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 48.6 L,1215 ,Sarjapur,approval by RERA
631,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 39.52 L,988 ,Sarjapur,approval by RERA
632,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.68 L,792 ,Sarjapur,approval by RERA
633,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.68 L,792 ,Sarjapur,approval by RERA
634,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.6 L,790 ,Sarjapur,approval by RERA
635,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.6 L,790 ,Sarjapur,approval by RERA
636,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31.12 L,778 ,Sarjapur,approval by RERA
637,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 58.36 L,1459 ,Sarjapur,approval by RERA
638,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 17.96 L,449 ,Sarjapur,approval by RERA
639,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 36.6 L,915 ,Sarjapur,approval by RERA
640,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 36.12 L,903 ,Sarjapur,approval by RERA
641,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 33.36 L,834 ,Sarjapur,approval by RERA
642,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 31 L,775 ,Sarjapur,approval by RERA
643,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 47.2 L,1180 ,Sarjapur,approval by RERA
644,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 58 L,1450 ,Sarjapur,approval by RERA
645,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 30.52 L,763 ,Sarjapur,approval by RERA
646,1 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 22.72 L,568 ,Sarjapur,approval by RERA
647,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 30.64 L,766 ,Sarjapur,approval by RERA
648,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 57.36 L,1434 ,Sarjapur,approval by RERA
649,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 38.6 L,965 ,Sarjapur,approval by RERA
650,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 62.56 L,1564 ,Sarjapur,approval by RERA
651,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 45.8 L,1145 ,Sarjapur,approval by RERA
652,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 30.04 L,751 ,Sarjapur,approval by RERA
653,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 35.64 L,891 ,Sarjapur,approval by RERA
654,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 30.28 L,757 ,Sarjapur,approval by RERA
655,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 55.6 L,1390 ,Sarjapur,approval by RERA
656,2 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 32.4 L,810 ,Sarjapur,approval by RERA
657,3 BHK Apartment in Modern Soul Tree,Modern Spaaces,Under Construction,"4,000 / sq ft", 37.72 L,943 ,Sarjapur,approval by RERA
658,2 BHK Apartment in Nikhar Aventino,Nikhar Estates,Under Construction,"6,786 / sq ft", 77.36 L,1140 ,Bellandur,approval by RERA
659,2 BHK Apartment in Nikhar Aventino,Nikhar Estates,Under Construction,"6,829 / sq ft", 72.05 L,1055 ,Bellandur,approval by RERA
